,IMG No.,Prediction,Actual Value,Right,Wrong,%,M1Right,M1Wrong,M1%,M2Right,M2Wrong,M2%,M3Right,M3Wrong,M3%,M1-3Right,M1-3Wrong,M1-3%,M4-7Right,M4-7Wrong,M4-7%
0,102,8,0,4594.0,1806.0,71.78125,6306.0,94.0,98.53125,6400.0,0.0,100.0,6082.0,318.0,95.03125,5988.0,412.0,93.5625,5006.0,1394.0,78.21875
1,104,8,0,,,,,,,,,,,,,,,,,,
2,105,1,0,,,,,,,,,,,,,,,,,,
3,118,1,0,,,,,,,,,,,,,,,,,,
4,131,7,0,,,,,,,,,,,,,,,,,,
5,132,4,0,,,,,,,,,,,,,,,,,,
6,133,8,0,,,,,,,,,,,,,,,,,,
7,134,8,0,,,,,,,,,,,,,,,,,,
8,139,2,0,,,,,,,,,,,,,,,,,,
9,142,6,0,,,,,,,,,,,,,,,,,,
10,143,8,0,,,,,,,,,,,,,,,,,,
11,147,2,0,,,,,,,,,,,,,,,,,,
12,150,2,0,,,,,,,,,,,,,,,,,,
13,152,1,0,,,,,,,,,,,,,,,,,,
14,154,7,0,,,,,,,,,,,,,,,,,,
15,155,1,0,,,,,,,,,,,,,,,,,,
16,161,2,0,,,,,,,,,,,,,,,,,,
17,162,2,0,,,,,,,,,,,,,,,,,,
18,163,8,0,,,,,,,,,,,,,,,,,,
19,164,7,0,,,,,,,,,,,,,,,,,,
20,167,3,0,,,,,,,,,,,,,,,,,,
21,168,3,0,,,,,,,,,,,,,,,,,,
22,169,3,0,,,,,,,,,,,,,,,,,,
23,177,4,0,,,,,,,,,,,,,,,,,,
24,178,2,0,,,,,,,,,,,,,,,,,,
25,179,4,0,,,,,,,,,,,,,,,,,,
26,183,6,0,,,,,,,,,,,,,,,,,,
27,188,6,0,,,,,,,,,,,,,,,,,,
28,191,2,0,,,,,,,,,,,,,,,,,,
29,192,4,0,,,,,,,,,,,,,,,,,,
30,194,1,0,,,,,,,,,,,,,,,,,,
31,301,2,0,,,,,,,,,,,,,,,,,,
32,302,8,0,,,,,,,,,,,,,,,,,,
33,303,7,0,,,,,,,,,,,,,,,,,,
